time_ns,transaction,phase,location,vc,detail
2659057.0,bev_fusion:mmio,REQ_ROUTER,tile0->tile1,0,plane=1; flits=1
2659061.0,bev_fusion:mmio,REQ_ROUTER,tile1->tile2,2,plane=0; flits=1
2659065.0,bev_fusion:mmio,REQ_ROUTER,tile2->tile8,0,plane=0; flits=1
2659069.0,bev_fusion:mmio,REQ_ROUTER,tile8->tile14,0,plane=0; flits=1
2659073.0,bev_fusion:mmio,REQ_ROUTER,tile14->tile20,0,plane=0; flits=1
2659077.0,bev_fusion:mmio,REQ_ROUTER,tile20->tile26,0,plane=0; flits=1
2659081.0,bev_fusion:mmio,REQ_ROUTER,tile26->tile32,0,plane=0; flits=1
2659082.5,bev_fusion:mmio,END_REQ,tile32,,MMIO_PROGRAM
2659086.5,bev_fusion:mmio,BEGIN_RESP,tile32,,MMIO_PROGRAM
2659089.0,bev_fusion:mmio,RESP_ROUTER,tile32->tile31,2,plane=1; flits=1
2659093.0,bev_fusion:mmio,RESP_ROUTER,tile31->tile30,2,plane=0; flits=1
2659097.0,bev_fusion:mmio,RESP_ROUTER,tile30->tile24,2,plane=0; flits=1
2659101.0,bev_fusion:mmio,RESP_ROUTER,tile24->tile18,2,plane=0; flits=1
2659105.0,bev_fusion:mmio,RESP_ROUTER,tile18->tile12,2,plane=0; flits=1
2659109.0,bev_fusion:mmio,RESP_ROUTER,tile12->tile6,2,plane=0; flits=1
2659113.0,bev_fusion:mmio,RESP_ROUTER,tile6->tile0,2,plane=0; flits=1
2659114.5,bev_fusion:iommu_read,BEGIN_REQ,tile32,,IOMMU_TRANSLATE
2659114.5,bev_fusion:mmio,END_RESP,tile0,,MMIO_PROGRAM
2659117.0,bev_fusion:iommu_read,REQ_ROUTER,tile32->tile31,3,plane=1; flits=2
2659121.0,bev_fusion:iommu_read,REQ_ROUTER,tile31->tile25,0,plane=1; flits=2
2659125.0,bev_fusion:iommu_read,REQ_ROUTER,tile25->tile19,2,plane=0; flits=2
2659129.0,bev_fusion:iommu_read,REQ_ROUTER,tile19->tile13,2,plane=0; flits=2
2659133.0,bev_fusion:iommu_read,REQ_ROUTER,tile13->tile7,0,plane=1; flits=2
2659135.5,bev_fusion:iommu_read,END_REQ,tile7,,IOMMU_TRANSLATE
2659144.5,bev_fusion:iommu_read,BEGIN_RESP,tile7,,IOMMU_TRANSLATE
2659147.0,bev_fusion:iommu_read,RESP_ROUTER,tile7->tile8,2,plane=0; flits=1
2659151.0,bev_fusion:iommu_read,RESP_ROUTER,tile8->tile14,1,plane=0; flits=1
2659155.0,bev_fusion:iommu_read,RESP_ROUTER,tile14->tile20,1,plane=0; flits=1
2659159.0,bev_fusion:iommu_read,RESP_ROUTER,tile20->tile26,1,plane=0; flits=1
2659163.0,bev_fusion:iommu_read,RESP_ROUTER,tile26->tile32,1,plane=0; flits=1
2659164.5,bev_fusion:coherence,BEGIN_REQ,tile32,,COHERENCE_PROBE
2659164.5,bev_fusion:iommu_read,END_RESP,tile32,,IOMMU_TRANSLATE
2659167.0,bev_fusion:coherence,REQ_ROUTER,tile32->tile31,0,plane=2; flits=2
2659171.0,bev_fusion:coherence,REQ_ROUTER,tile31->tile25,1,plane=1; flits=2
2659175.0,bev_fusion:coherence,REQ_ROUTER,tile25->tile19,3,plane=0; flits=2
2659179.0,bev_fusion:coherence,REQ_ROUTER,tile19->tile13,3,plane=0; flits=2
2659183.0,bev_fusion:coherence,REQ_ROUTER,tile13->tile7,1,plane=1; flits=2
2659185.5,bev_fusion:coherence,END_REQ,tile7,,COHERENCE_PROBE
2659232.5,bev_fusion:coherence,BEGIN_RESP,tile7,,COHERENCE_PROBE
2659235.0,bev_fusion:coherence,RESP_ROUTER,tile7->tile8,3,plane=0; flits=1
2659239.0,bev_fusion:coherence,RESP_ROUTER,tile8->tile14,2,plane=0; flits=1
2659243.0,bev_fusion:coherence,RESP_ROUTER,tile14->tile20,2,plane=0; flits=1
2659247.0,bev_fusion:coherence,RESP_ROUTER,tile20->tile26,2,plane=0; flits=1
2659251.0,bev_fusion:coherence,RESP_ROUTER,tile26->tile32,2,plane=0; flits=1
2659252.5,bev_fusion:coherence,END_RESP,tile32,,COHERENCE_PROBE
2659252.5,bev_fusion:dma_read,BEGIN_REQ,tile32,,DMA_READ
2659255.0,bev_fusion:dma_read,REQ_ROUTER,tile32->tile31,1,plane=2; flits=2
2659259.0,bev_fusion:dma_read,REQ_ROUTER,tile31->tile25,2,plane=1; flits=2
2659261.5,bev_fusion:dma_read,END_REQ,tile25,,DMA_READ
2700393.5,bev_fusion:dma_read,BEGIN_RESP,tile25,,DMA_READ
2700395.0,bev_fusion:dma_read,RESP_ROUTER,tile25->tile26,2,plane=0; flits=16384
2717293.0,bev_fusion:dma_read,RESP_ROUTER,tile26->tile32,3,plane=0; flits=16384
2734189.0,bev_fusion:dma_read,END_RESP,tile32,,DMA_READ
3373393.5454545454,bev_fusion:iommu_write,BEGIN_REQ,tile32,,IOMMU_TRANSLATE
3373395.0,bev_fusion:iommu_write,REQ_ROUTER,tile32->tile31,2,plane=2; flits=2
3373399.0,bev_fusion:iommu_write,REQ_ROUTER,tile31->tile25,3,plane=1; flits=2
3373403.0,bev_fusion:iommu_write,REQ_ROUTER,tile25->tile19,0,plane=1; flits=2
3373407.0,bev_fusion:iommu_write,REQ_ROUTER,tile19->tile13,0,plane=1; flits=2
3373411.0,bev_fusion:iommu_write,REQ_ROUTER,tile13->tile7,2,plane=1; flits=2
3373413.5,bev_fusion:iommu_write,END_REQ,tile7,,IOMMU_TRANSLATE
3373422.5,bev_fusion:iommu_write,BEGIN_RESP,tile7,,IOMMU_TRANSLATE
3373425.0,bev_fusion:iommu_write,RESP_ROUTER,tile7->tile8,0,plane=1; flits=1
3373429.0,bev_fusion:iommu_write,RESP_ROUTER,tile8->tile14,3,plane=0; flits=1
3373431.5,imu_visual_ekf:iommu_read,BEGIN_RESP,tile7,,IOMMU_TRANSLATE
3373433.0,bev_fusion:iommu_write,RESP_ROUTER,tile14->tile20,3,plane=0; flits=1
3373433.0,imu_visual_ekf:iommu_read,RESP_ROUTER,tile7->tile8,2,plane=1; flits=1
